UTC Time,Latitude,Longitude,GForce,satCount
135137.000,51.465810,5.374353,0.42,20
135137.000,51.465810,5.374353,0.34,20
135137.000,51.465810,5.374353,0.44,20
135137.000,51.465810,5.374353,0.33,20
135137.000,51.465810,5.374353,0.54,20
135138.000,51.465927,5.374348,0.40,20
135138.000,51.465927,5.374348,0.42,20
135138.000,51.465927,5.374348,0.54,20
135138.000,51.465927,5.374348,0.52,20
135138.000,51.465927,5.374348,0.48,20
135138.000,51.465927,5.374348,0.45,20
135138.000,51.465927,5.374348,0.49,20
135138.000,51.465927,5.374348,0.62,20
135138.000,51.465927,5.374348,0.53,20
135138.000,51.465927,5.374348,0.50,20
135139.000,51.466030,5.374405,0.45,20
135139.000,51.466030,5.374405,0.49,20
135139.000,51.466030,5.374405,0.38,20
135139.000,51.466030,5.374405,0.38,20
135139.000,51.466030,5.374405,0.35,20
135139.000,51.466030,5.374405,0.29,20
135139.000,51.466030,5.374405,0.33,20
135139.000,51.466030,5.374405,0.26,20
135139.000,51.466030,5.374405,0.36,20
135139.000,51.466030,5.374405,0.30,20
135140.000,51.466103,5.374525,0.44,20
135140.000,51.466103,5.374525,0.46,20
135140.000,51.466103,5.374525,0.42,20
135140.000,51.466103,5.374525,0.49,20
135140.000,51.466103,5.374525,0.49,20
135140.000,51.466103,5.374525,0.49,20
135140.000,51.466103,5.374525,0.52,20
135140.000,51.466103,5.374525,0.46,20
135140.000,51.466103,5.374525,0.49,20
135140.000,51.466103,5.374525,0.54,20
135141.000,51.466124,5.374692,0.48,20
135141.000,51.466124,5.374692,0.52,20
135141.000,51.466124,5.374692,0.45,20
135141.000,51.466124,5.374692,0.38,20
135141.000,51.466124,5.374692,0.33,20
135141.000,51.466124,5.374692,0.34,20
135141.000,51.466124,5.374692,0.41,20
135141.000,51.466124,5.374692,0.38,20
135141.000,51.466124,5.374692,0.40,20
135141.000,51.466124,5.374692,0.34,20
135142.000,51.466112,5.374868,0.34,20
135142.000,51.466112,5.374868,0.38,20
